ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,Year
CA-001,Alameda County,California,24.97,110,6.22,18.75,2017
CA-003,Alpine County,California,64.24,127,28.1,36.14,2017
CA-005,Amador County,California,55.94,124,20.71,35.23,2017
CA-007,Butte County,California,56.41,107,12,44.41,2017
CA-009,Calaveras County,California,51.55,122,17.28,34.27,2017
CA-011,Colusa County,California,27.44,102,5.44,22,2017
CA-013,Contra Costa County,California,26.84,118,8.35,18.49,2017
CA-015,Del Norte County,California,92.56,98,12.57,79.99,2017
CA-017,El Dorado County,California,73.52,125,28.88,44.64,2017
CA-019,Fresno County,California,27.16,115,7.56,19.6,2017
CA-021,Glenn County,California,28.56,84,2.68,25.88,2017
CA-023,Humboldt County,California,76.72,105,13.33,63.39,2017
CA-025,Imperial County,California,2.82,57,-0.56,3.38,2017
CA-027,Inyo County,California,7.68,100,1.44,6.24,2017
CA-029,Kern County,California,9.68,83,0.63,9.05,2017
CA-031,Kings County,California,8.21,87,0.6,7.61,2017
CA-033,Lake County,California,56.99,110,13.53,43.46,2017
CA-035,Lassen County,California,28.47,117,8.07,20.4,2017
CA-037,Los Angeles County,California,13.69,68,-1.87,15.56,2017
CA-039,Madera County,California,29.76,105,6.64,23.12,2017
CA-041,Marin County,California,45.85,106,10.37,35.48,2017
CA-043,Mariposa County,California,41.99,105,9.18,32.81,2017
CA-045,Mendocino County,California,61.04,99,9.43,51.61,2017
CA-047,Merced County,California,13.02,91,1.75,11.27,2017
CA-049,Modoc County,California,21.12,104,3.05,18.07,2017
CA-051,Mono County,California,26.45,126,10.82,15.63,2017
CA-053,Monterey County,California,25.02,103,4.92,20.1,2017
CA-055,Napa County,California,43.3,116,12.2,31.1,2017
CA-057,Nevada County,California,82.59,126,32.22,50.37,2017
CA-059,Orange County,California,13.2,74,-0.35,13.55,2017
CA-061,Placer County,California,75.84,126,30.07,45.77,2017
CA-063,Plumas County,California,68.34,124,27.13,41.21,2017
CA-065,Riverside County,California,7.94,71,-0.55,8.49,2017
CA-067,Sacramento County,California,27.87,121,9.18,18.69,2017
CA-069,San Benito County,California,18.11,86,1.37,16.74,2017
CA-071,San Bernardino County,California,5.56,48,-1.3,6.86,2017
CA-073,San Diego County,California,12.79,71,-1.5,14.29,2017
CA-075,San Francisco County,California,31.59,107,7.29,24.3,2017
CA-077,San Joaquin County,California,19.08,116,5.03,14.05,2017
CA-079,San Luis Obispo County,California,20.89,99,3.73,17.16,2017
CA-081,San Mateo County,California,36.79,108,8.13,28.66,2017
CA-083,Santa Barbara County,California,20.52,88,1.68,18.84,2017
CA-085,Santa Clara County,California,31.53,113,8.42,23.11,2017
CA-087,Santa Cruz County,California,47.63,118,14.58,33.05,2017
CA-089,Shasta County,California,52.95,109,11.01,41.94,2017
CA-091,Sierra County,California,80.2,127,34.45,45.75,2017
CA-093,Siskiyou County,California,43.62,92,4.81,38.81,2017
CA-095,Solano County,California,30.57,118,10.78,19.79,2017
CA-097,Sonoma County,California,52.76,105,10.74,42.02,2017
CA-099,Stanislaus County,California,16.82,98,3.17,13.65,2017
CA-101,Sutter County,California,25.41,113,6.43,18.98,2017
CA-103,Tehama County,California,40.84,90,4.33,36.51,2017
CA-105,Trinity County,California,67.76,99,10.27,57.49,2017
CA-107,Tulare County,California,27.33,102,5.49,21.84,2017
CA-109,Tuolumne County,California,64.58,124,23.74,40.84,2017
CA-111,Ventura County,California,20.91,77,0.5,20.41,2017
CA-113,Yolo County,California,30.74,119,10.73,20.01,2017
CA-115,Yuba County,California,55.01,119,17.28,37.73,2017
CA-001,Alameda County,California,16.57,52,-2.18,18.75,2018
CA-003,Alpine County,California,32.2,52,-3.94,36.14,2018
CA-005,Amador County,California,34.04,64,-1.19,35.23,2018
CA-007,Butte County,California,34.51,33,-9.9,44.41,2018
CA-009,Calaveras County,California,32.63,63,-1.64,34.27,2018
CA-011,Colusa County,California,18.08,38,-3.92,22,2018
CA-013,Contra Costa County,California,17.52,64,-0.97,18.49,2018
CA-015,Del Norte County,California,54.46,11,-25.53,79.99,2018
CA-017,El Dorado County,California,40.29,57,-4.35,44.64,2018
CA-019,Fresno County,California,16.87,53,-2.73,19.6,2018
CA-021,Glenn County,California,18.95,28,-6.93,25.88,2018
CA-023,Humboldt County,California,48.62,23,-14.77,63.39,2018
CA-025,Imperial County,California,2.07,31,-1.31,3.38,2018
CA-027,Inyo County,California,4.52,39,-1.72,6.24,2018
CA-029,Kern County,California,7.03,42,-2.02,9.05,2018
CA-031,Kings County,California,5.61,40,-2,7.61,2018
CA-033,Lake County,California,34.37,34,-9.09,43.46,2018
CA-035,Lassen County,California,18.88,55,-1.52,20.4,2018
CA-037,Los Angeles County,California,10.79,41,-4.77,15.56,2018
CA-039,Madera County,California,20.72,59,-2.4,23.12,2018
CA-041,Marin County,California,30.49,47,-4.99,35.48,2018
CA-043,Mariposa County,California,30.17,62,-2.64,32.81,2018
CA-045,Mendocino County,California,41.72,33,-9.89,51.61,2018
CA-047,Merced County,California,10.5,63,-0.77,11.27,2018
CA-049,Modoc County,California,17.29,59,-0.78,18.07,2018
CA-051,Mono County,California,14.08,54,-1.55,15.63,2018
CA-053,Monterey County,California,19.21,60,-0.89,20.1,2018
CA-055,Napa County,California,24.56,35,-6.54,31.1,2018
CA-057,Nevada County,California,45.36,55,-5.01,50.37,2018
CA-059,Orange County,California,8.79,32,-4.76,13.55,2018
CA-061,Placer County,California,42.42,61,-3.35,45.77,2018
CA-063,Plumas County,California,35.36,45,-5.85,41.21,2018
CA-065,Riverside County,California,5.82,36,-2.67,8.49,2018
CA-067,Sacramento County,California,18.95,72,0.26,18.69,2018
CA-069,San Benito County,California,15.78,62,-0.96,16.74,2018
CA-071,San Bernardino County,California,5.11,43,-1.75,6.86,2018
CA-073,San Diego County,California,9.69,30,-4.6,14.29,2018
CA-075,San Francisco County,California,22.51,56,-1.79,24.3,2018
CA-077,San Joaquin County,California,14.35,73,0.3,14.05,2018
CA-079,San Luis Obispo County,California,14.4,53,-2.76,17.16,2018
CA-081,San Mateo County,California,22.73,38,-5.93,28.66,2018
CA-083,Santa Barbara County,California,12.72,31,-6.12,18.84,2018
CA-085,Santa Clara County,California,21.1,56,-2.01,23.11,2018
CA-087,Santa Cruz County,California,27.33,43,-5.72,33.05,2018
CA-089,Shasta County,California,34.13,33,-7.81,41.94,2018
CA-091,Sierra County,California,39.27,49,-6.48,45.75,2018
CA-093,Siskiyou County,California,26.23,13,-12.58,38.81,2018
CA-095,Solano County,California,17.34,50,-2.45,19.79,2018
CA-097,Sonoma County,California,36.02,44,-6,42.02,2018
CA-099,Stanislaus County,California,13.57,68,-0.08,13.65,2018
CA-101,Sutter County,California,17.61,56,-1.37,18.98,2018
CA-103,Tehama County,California,30.58,44,-5.93,36.51,2018
CA-105,Trinity County,California,39.76,19,-17.73,57.49,2018
CA-107,Tulare County,California,16.35,35,-5.49,21.84,2018
CA-109,Tuolumne County,California,37.4,57,-3.44,40.84,2018
CA-111,Ventura County,California,14.24,38,-6.17,20.41,2018
CA-113,Yolo County,California,17.84,53,-2.17,20.01,2018
CA-115,Yuba County,California,33.66,56,-4.07,37.73,2018
CA-001,Alameda County,California,22.29,96,3.54,18.75,2019
CA-003,Alpine County,California,47.21,107,11.07,36.14,2019
CA-005,Amador County,California,48.65,112,13.42,35.23,2019
CA-007,Butte County,California,60.1,115,15.69,44.41,2019
CA-009,Calaveras County,California,48.25,117,13.98,34.27,2019
CA-011,Colusa County,California,32.89,119,10.89,22,2019
CA-013,Contra Costa County,California,23.29,102,4.8,18.49,2019
CA-015,Del Norte County,California,79.65,69,-0.34,79.99,2019
CA-017,El Dorado County,California,60.52,113,15.88,44.64,2019
CA-019,Fresno County,California,25.12,107,5.52,19.6,2019
CA-021,Glenn County,California,39.12,122,13.24,25.88,2019
CA-023,Humboldt County,California,71.48,92,8.09,63.39,2019
CA-025,Imperial County,California,3.76,86,0.38,3.38,2019
CA-027,Inyo County,California,10,120,3.76,6.24,2019
CA-029,Kern County,California,13.32,115,4.27,9.05,2019
CA-031,Kings County,California,9.69,104,2.08,7.61,2019
CA-033,Lake County,California,60.95,116,17.49,43.46,2019
CA-035,Lassen County,California,25.57,110,5.17,20.4,2019
CA-037,Los Angeles County,California,23.4,111,7.84,15.56,2019
CA-039,Madera County,California,25.3,87,2.18,23.12,2019
CA-041,Marin County,California,46.7,107,11.22,35.48,2019
CA-043,Mariposa County,California,38.06,96,5.25,32.81,2019
CA-045,Mendocino County,California,62.4,104,10.79,51.61,2019
CA-047,Merced County,California,13.85,99,2.58,11.27,2019
CA-049,Modoc County,California,21.22,107,3.15,18.07,2019
CA-051,Mono County,California,19.12,101,3.49,15.63,2019
CA-053,Monterey County,California,30.5,118,10.4,20.1,2019
CA-055,Napa County,California,43.5,117,12.4,31.1,2019
CA-057,Nevada County,California,66.92,111,16.55,50.37,2019
CA-059,Orange County,California,21.24,115,7.69,13.55,2019
CA-061,Placer County,California,61.82,113,16.05,45.77,2019
CA-063,Plumas County,California,56.14,115,14.93,41.21,2019
CA-065,Riverside County,California,12.78,114,4.29,8.49,2019
CA-067,Sacramento County,California,25.88,116,7.19,18.69,2019
CA-069,San Benito County,California,22.97,110,6.23,16.74,2019
CA-071,San Bernardino County,California,10.79,117,3.93,6.86,2019
CA-073,San Diego County,California,21.17,114,6.88,14.29,2019
CA-075,San Francisco County,California,29.56,98,5.26,24.3,2019
CA-077,San Joaquin County,California,17.6,102,3.55,14.05,2019
CA-079,San Luis Obispo County,California,23.65,112,6.49,17.16,2019
CA-081,San Mateo County,California,34.33,97,5.67,28.66,2019
CA-083,Santa Barbara County,California,26.65,112,7.81,18.84,2019
CA-085,Santa Clara County,California,32.17,116,9.06,23.11,2019
CA-087,Santa Cruz County,California,46.24,115,13.19,33.05,2019
CA-089,Shasta County,California,54.84,112,12.9,41.94,2019
CA-091,Sierra County,California,60.82,113,15.07,45.75,2019
CA-093,Siskiyou County,California,39.49,79,0.68,38.81,2019
CA-095,Solano County,California,28.79,117,9,19.79,2019
CA-097,Sonoma County,California,57.85,114,15.83,42.02,2019
CA-099,Stanislaus County,California,17.77,109,4.12,13.65,2019
CA-101,Sutter County,California,28.23,121,9.25,18.98,2019
CA-103,Tehama County,California,48.44,112,11.93,36.51,2019
CA-105,Trinity County,California,66.14,95,8.65,57.49,2019
CA-107,Tulare County,California,29.53,111,7.69,21.84,2019
CA-109,Tuolumne County,California,52.12,108,11.28,40.84,2019
CA-111,Ventura County,California,31.01,114,10.6,20.41,2019
CA-113,Yolo County,California,33.14,123,13.13,20.01,2019
CA-115,Yuba County,California,52.15,116,14.42,37.73,2019
CA-001,Alameda County,California,8.42,4,-10.33,18.75,2020
CA-003,Alpine County,California,20.43,4,-15.71,36.14,2020
CA-005,Amador County,California,20.32,5,-14.91,35.23,2020
CA-007,Butte County,California,19.16,3,-25.25,44.41,2020
CA-009,Calaveras County,California,18.94,4,-15.33,34.27,2020
CA-011,Colusa County,California,6.88,2,-15.12,22,2020
CA-013,Contra Costa County,California,7.23,2,-11.26,18.49,2020
CA-015,Del Norte County,California,55.96,14,-24.03,79.99,2020
CA-017,El Dorado County,California,25.9,4,-18.74,44.64,2020
CA-019,Fresno County,California,9.62,3,-9.98,19.6,2020
CA-021,Glenn County,California,7.22,1,-18.66,25.88,2020
CA-023,Humboldt County,California,37.67,6,-25.72,63.39,2020
CA-025,Imperial County,California,2.69,52,-0.69,3.38,2020
CA-027,Inyo County,California,2.99,7,-3.25,6.24,2020
CA-029,Kern County,California,6.05,28,-3,9.05,2020
CA-031,Kings County,California,4.54,17,-3.07,7.61,2020
CA-033,Lake County,California,17.02,3,-26.44,43.46,2020
CA-035,Lassen County,California,10.81,3,-9.59,20.4,2020
CA-037,Los Angeles County,California,10.89,42,-4.67,15.56,2020
CA-039,Madera County,California,11.06,3,-12.06,23.12,2020
CA-041,Marin County,California,13.07,2,-22.41,35.48,2020
CA-043,Mariposa County,California,15.78,4,-17.03,32.81,2020
CA-045,Mendocino County,California,22.11,2,-29.5,51.61,2020
CA-047,Merced County,California,5.77,6,-5.5,11.27,2020
CA-049,Modoc County,California,12.92,12,-5.15,18.07,2020
CA-051,Mono County,California,7.71,3,-7.92,15.63,2020
CA-053,Monterey County,California,10.21,9,-9.89,20.1,2020
CA-055,Napa County,California,10.32,3,-20.78,31.1,2020
CA-057,Nevada County,California,27.42,4,-22.95,50.37,2020
CA-059,Orange County,California,9.57,42,-3.98,13.55,2020
CA-061,Placer County,California,24.95,3,-20.82,45.77,2020
CA-063,Plumas County,California,21.66,3,-19.55,41.21,2020
CA-065,Riverside County,California,6.62,48,-1.87,8.49,2020
CA-067,Sacramento County,California,8.06,3,-10.63,18.69,2020
CA-069,San Benito County,California,8.72,9,-8.02,16.74,2020
CA-071,San Bernardino County,California,4.44,31,-2.42,6.86,2020
CA-073,San Diego County,California,11.35,48,-2.94,14.29,2020
CA-075,San Francisco County,California,9.44,2,-14.86,24.3,2020
CA-077,San Joaquin County,California,6.6,5,-7.45,14.05,2020
CA-079,San Luis Obispo County,California,9.31,13,-7.85,17.16,2020
CA-081,San Mateo County,California,10.95,2,-17.71,28.66,2020
CA-083,Santa Barbara County,California,11.34,20,-7.5,18.84,2020
CA-085,Santa Clara County,California,12.47,7,-10.64,23.11,2020
CA-087,Santa Cruz County,California,14.51,4,-18.54,33.05,2020
CA-089,Shasta County,California,23.3,5,-18.64,41.94,2020
CA-091,Sierra County,California,24.33,3,-21.42,45.75,2020
CA-093,Siskiyou County,California,23.22,5,-15.59,38.81,2020
CA-095,Solano County,California,6.51,2,-13.28,19.79,2020
CA-097,Sonoma County,California,14.86,3,-27.16,42.02,2020
CA-099,Stanislaus County,California,6.78,5,-6.87,13.65,2020
CA-101,Sutter County,California,6.57,2,-12.41,18.98,2020
CA-103,Tehama County,California,16.5,3,-20.01,36.51,2020
CA-105,Trinity County,California,28.14,3,-29.35,57.49,2020
CA-107,Tulare County,California,11.61,8,-10.23,21.84,2020
CA-109,Tuolumne County,California,21.07,3,-19.77,40.84,2020
CA-111,Ventura County,California,12.1,27,-8.31,20.41,2020
CA-113,Yolo County,California,6.36,3,-13.65,20.01,2020
CA-115,Yuba County,California,18.02,3,-19.71,37.73,2020
CA-001,Alameda County,California,17.96,64,-0.79,18.75,2021
CA-003,Alpine County,California,37.65,82,1.51,36.14,2021
CA-005,Amador County,California,34.53,68,-0.7,35.23,2021
CA-007,Butte County,California,35.78,41,-8.63,44.41,2021
CA-009,Calaveras County,California,33.65,71,-0.62,34.27,2021
CA-011,Colusa County,California,18.55,41,-3.45,22,2021
CA-013,Contra Costa County,California,16.96,60,-1.53,18.49,2021
CA-015,Del Norte County,California,75.66,60,-4.33,79.99,2021
CA-017,El Dorado County,California,42.1,62,-2.54,44.64,2021
CA-019,Fresno County,California,16.83,52,-2.77,19.6,2021
CA-021,Glenn County,California,19.76,36,-6.12,25.88,2021
CA-023,Humboldt County,California,52.42,37,-10.97,63.39,2021
CA-025,Imperial County,California,2.49,45,-0.89,3.38,2021
CA-027,Inyo County,California,4.61,42,-1.63,6.24,2021
CA-029,Kern County,California,6.81,40,-2.24,9.05,2021
CA-031,Kings County,California,7.31,65,-0.3,7.61,2021
CA-033,Lake County,California,36.57,46,-6.89,43.46,2021
CA-035,Lassen County,California,18.29,52,-2.11,20.4,2021
CA-037,Los Angeles County,California,11.79,46,-3.77,15.56,2021
CA-039,Madera County,California,19.05,44,-4.07,23.12,2021
CA-041,Marin County,California,30.24,44,-5.24,35.48,2021
CA-043,Mariposa County,California,26.48,42,-6.33,32.81,2021
CA-045,Mendocino County,California,43.42,37,-8.19,51.61,2021
CA-047,Merced County,California,10.5,63,-0.77,11.27,2021
CA-049,Modoc County,California,14.45,28,-3.62,18.07,2021
CA-051,Mono County,California,16.04,81,0.41,15.63,2021
CA-053,Monterey County,California,20.8,76,0.7,20.1,2021
CA-055,Napa County,California,27.17,51,-3.93,31.1,2021
CA-057,Nevada County,California,48.46,67,-1.91,50.37,2021
CA-059,Orange County,California,9.41,39,-4.14,13.55,2021
CA-061,Placer County,California,44.34,67,-1.43,45.77,2021
CA-063,Plumas County,California,38.29,58,-2.92,41.21,2021
CA-065,Riverside County,California,5.39,30,-3.1,8.49,2021
CA-067,Sacramento County,California,17.58,59,-1.11,18.69,2021
CA-069,San Benito County,California,16.07,67,-0.67,16.74,2021
CA-071,San Bernardino County,California,4.3,28,-2.56,6.86,2021
CA-073,San Diego County,California,11.35,48,-2.94,14.29,2021
CA-075,San Francisco County,California,24.66,70,0.36,24.3,2021
CA-077,San Joaquin County,California,14.22,70,0.17,14.05,2021
CA-079,San Luis Obispo County,California,16.81,69,-0.35,17.16,2021
CA-081,San Mateo County,California,26.07,56,-2.59,28.66,2021
CA-083,Santa Barbara County,California,16.54,60,-2.3,18.84,2021
CA-085,Santa Clara County,California,22.81,65,-0.3,23.11,2021
CA-087,Santa Cruz County,California,33.92,76,0.87,33.05,2021
CA-089,Shasta County,California,33.31,31,-8.63,41.94,2021
CA-091,Sierra County,California,44.67,70,-1.08,45.75,2021
CA-093,Siskiyou County,California,29.23,24,-9.58,38.81,2021
CA-095,Solano County,California,18.48,62,-1.31,19.79,2021
CA-097,Sonoma County,California,35.2,41,-6.82,42.02,2021
CA-099,Stanislaus County,California,14.2,77,0.55,13.65,2021
CA-101,Sutter County,California,16.08,42,-2.9,18.98,2021
CA-103,Tehama County,California,30.03,39,-6.48,36.51,2021
CA-105,Trinity County,California,44.81,33,-12.68,57.49,2021
CA-107,Tulare County,California,18.46,49,-3.38,21.84,2021
CA-109,Tuolumne County,California,37.6,59,-3.24,40.84,2021
CA-111,Ventura County,California,16.93,59,-3.48,20.41,2021
CA-113,Yolo County,California,18.91,62,-1.1,20.01,2021
CA-115,Yuba County,California,32.71,48,-5.02,37.73,2021
CA-001,Alameda County,California,14.46,33,-4.29,18.75,2022
CA-003,Alpine County,California,30.42,42,-5.72,36.14,2022
CA-005,Amador County,California,28.74,39,-6.49,35.23,2022
CA-007,Butte County,California,24.81,9,-19.6,44.41,2022
CA-009,Calaveras County,California,26.35,35,-7.92,34.27,2022
CA-011,Colusa County,California,11.52,9,-10.48,22,2022
CA-013,Contra Costa County,California,13.45,30,-5.04,18.49,2022
CA-015,Del Norte County,California,53.28,7,-26.71,79.99,2022
CA-017,El Dorado County,California,36.22,35,-8.42,44.64,2022
CA-019,Fresno County,California,13.07,24,-6.53,19.6,2022
CA-021,Glenn County,California,12.31,5,-13.57,25.88,2022
CA-023,Humboldt County,California,41.31,9,-22.08,63.39,2022
CA-025,Imperial County,California,2.17,32,-1.21,3.38,2022
CA-027,Inyo County,California,3.83,22,-2.41,6.24,2022
CA-029,Kern County,California,5.35,16,-3.7,9.05,2022
CA-031,Kings County,California,4.32,14,-3.29,7.61,2022
CA-033,Lake County,California,23.95,11,-19.51,43.46,2022
CA-035,Lassen County,California,13.3,10,-7.1,20.4,2022
CA-037,Los Angeles County,California,7.64,17,-7.92,15.56,2022
CA-039,Madera County,California,14.36,14,-8.76,23.12,2022
CA-041,Marin County,California,20.94,14,-14.54,35.48,2022
CA-043,Mariposa County,California,21.5,18,-11.31,32.81,2022
CA-045,Mendocino County,California,32.19,12,-19.42,51.61,2022
CA-047,Merced County,California,7.77,25,-3.5,11.27,2022
CA-049,Modoc County,California,14.82,33,-3.25,18.07,2022
CA-051,Mono County,California,13.09,40,-2.54,15.63,2022
CA-053,Monterey County,California,13.55,23,-6.55,20.1,2022
CA-055,Napa County,California,16.66,12,-14.44,31.1,2022
CA-057,Nevada County,California,37.87,28,-12.5,50.37,2022
CA-059,Orange County,California,6.64,14,-6.91,13.55,2022
CA-061,Placer County,California,35.57,32,-10.2,45.77,2022
CA-063,Plumas County,California,26.16,14,-15.05,41.21,2022
CA-065,Riverside County,California,4.45,12,-4.04,8.49,2022
CA-067,Sacramento County,California,12.8,22,-5.89,18.69,2022
CA-069,San Benito County,California,10.25,16,-6.49,16.74,2022
CA-071,San Bernardino County,California,3.81,19,-3.05,6.86,2022
CA-073,San Diego County,California,8.64,18,-5.65,14.29,2022
CA-075,San Francisco County,California,18.22,32,-6.08,24.3,2022
CA-077,San Joaquin County,California,10.75,35,-3.3,14.05,2022
CA-079,San Luis Obispo County,California,10.66,23,-6.5,17.16,2022
CA-081,San Mateo County,California,20.73,29,-7.93,28.66,2022
CA-083,Santa Barbara County,California,10.22,16,-8.62,18.84,2022
CA-085,Santa Clara County,California,18.47,36,-4.64,23.11,2022
CA-087,Santa Cruz County,California,27.14,41,-5.91,33.05,2022
CA-089,Shasta County,California,23.69,6,-18.25,41.94,2022
CA-091,Sierra County,California,32.66,23,-13.09,45.75,2022
CA-093,Siskiyou County,California,24.04,7,-14.77,38.81,2022
CA-095,Solano County,California,12.25,20,-7.54,19.79,2022
CA-097,Sonoma County,California,23.28,9,-18.74,42.02,2022
CA-099,Stanislaus County,California,10.09,31,-3.56,13.65,2022
CA-101,Sutter County,California,10.76,12,-8.22,18.98,2022
CA-103,Tehama County,California,19.69,8,-16.82,36.51,2022
CA-105,Trinity County,California,33.41,8,-24.08,57.49,2022
CA-107,Tulare County,California,12.31,12,-9.53,21.84,2022
CA-109,Tuolumne County,California,29.48,24,-11.36,40.84,2022
CA-111,Ventura County,California,9.95,13,-10.46,20.41,2022
CA-113,Yolo County,California,11.49,12,-8.52,20.01,2022
CA-115,Yuba County,California,23.37,11,-14.36,37.73,2022