ID,Name,State,Value,Year
CA-001,Alameda County,California,60.6,2022
CA-003,Alpine County,California,45.7,2022
CA-005,Amador County,California,60,2022
CA-007,Butte County,California,62.1,2022
CA-009,Calaveras County,California,60.3,2022
CA-011,Colusa County,California,62.8,2022
CA-013,Contra Costa County,California,61.7,2022
CA-015,Del Norte County,California,52.4,2022
CA-017,El Dorado County,California,55.7,2022
CA-019,Fresno County,California,57.5,2022
CA-021,Glenn County,California,61.9,2022
CA-023,Humboldt County,California,54.4,2022
CA-025,Imperial County,California,75.5,2022
CA-027,Inyo County,California,62.3,2022
CA-029,Kern County,California,63.7,2022
CA-031,Kings County,California,65.3,2022
CA-033,Lake County,California,58.5,2022
CA-035,Lassen County,California,47.9,2022
CA-037,Los Angeles County,California,63.7,2022
CA-039,Madera County,California,58,2022
CA-041,Marin County,California,56.9,2022
CA-043,Mariposa County,California,57.2,2022
CA-045,Mendocino County,California,56.3,2022
CA-047,Merced County,California,63.8,2022
CA-049,Modoc County,California,48.3,2022
CA-051,Mono County,California,45.6,2022
CA-053,Monterey County,California,60,2022
CA-055,Napa County,California,60.7,2022
CA-057,Nevada County,California,53.8,2022
CA-059,Orange County,California,66,2022
CA-061,Placer County,California,55.2,2022
CA-063,Plumas County,California,48.6,2022
CA-065,Riverside County,California,70,2022
CA-067,Sacramento County,California,63.7,2022
CA-069,San Benito County,California,60.8,2022
CA-071,San Bernardino County,California,67.9,2022
CA-073,San Diego County,California,64.1,2022
CA-075,San Francisco County,California,57.6,2022
CA-077,San Joaquin County,California,63.7,2022
CA-079,San Luis Obispo County,California,61.1,2022
CA-081,San Mateo County,California,57.4,2022
CA-083,Santa Barbara County,California,59.9,2022
CA-085,Santa Clara County,California,59.8,2022
CA-087,Santa Cruz County,California,58.6,2022
CA-089,Shasta County,California,57,2022
CA-091,Sierra County,California,48.4,2022
CA-093,Siskiyou County,California,50.6,2022
CA-095,Solano County,California,62.3,2022
CA-097,Sonoma County,California,58,2022
CA-099,Stanislaus County,California,63,2022
CA-101,Sutter County,California,64.2,2022
CA-103,Tehama County,California,60.7,2022
CA-105,Trinity County,California,54.1,2022
CA-107,Tulare County,California,56.1,2022
CA-109,Tuolumne County,California,51.8,2022
CA-111,Ventura County,California,59.3,2022
CA-113,Yolo County,California,63.2,2022
CA-115,Yuba County,California,62.5,2022
CA-001,Alameda County,California,60.4,2021
CA-003,Alpine County,California,46.4,2021
CA-005,Amador County,California,60,2021
CA-007,Butte County,California,61.9,2021
CA-009,Calaveras County,California,60.5,2021
CA-011,Colusa County,California,63.2,2021
CA-013,Contra Costa County,California,61.3,2021
CA-015,Del Norte County,California,53.3,2021
CA-017,El Dorado County,California,56.1,2021
CA-019,Fresno County,California,57.7,2021
CA-021,Glenn County,California,62.3,2021
CA-023,Humboldt County,California,54.7,2021
CA-025,Imperial County,California,75.7,2021
CA-027,Inyo County,California,63,2021
CA-029,Kern County,California,63.7,2021
CA-031,Kings County,California,65.3,2021
CA-033,Lake County,California,59.1,2021
CA-035,Lassen County,California,49.1,2021
CA-037,Los Angeles County,California,63.3,2021
CA-039,Madera County,California,58,2021
CA-041,Marin County,California,56.6,2021
CA-043,Mariposa County,California,57.2,2021
CA-045,Mendocino County,California,56.8,2021
CA-047,Merced County,California,63.4,2021
CA-049,Modoc County,California,49.3,2021
CA-051,Mono County,California,46.4,2021
CA-053,Monterey County,California,59.6,2021
CA-055,Napa County,California,60.6,2021
CA-057,Nevada County,California,54.4,2021
CA-059,Orange County,California,64.8,2021
CA-061,Placer County,California,55.8,2021
CA-063,Plumas County,California,49.4,2021
CA-065,Riverside County,California,70.1,2021
CA-067,Sacramento County,California,63.4,2021
CA-069,San Benito County,California,60.3,2021
CA-071,San Bernardino County,California,68.5,2021
CA-073,San Diego County,California,64.2,2021
CA-075,San Francisco County,California,57.2,2021
CA-077,San Joaquin County,California,63.7,2021
CA-079,San Luis Obispo County,California,60.9,2021
CA-081,San Mateo County,California,57.4,2021
CA-083,Santa Barbara County,California,59.6,2021
CA-085,Santa Clara County,California,59.4,2021
CA-087,Santa Cruz County,California,58.1,2021
CA-089,Shasta County,California,57.2,2021
CA-091,Sierra County,California,49.2,2021
CA-093,Siskiyou County,California,50.9,2021
CA-095,Solano County,California,62,2021
CA-097,Sonoma County,California,57.9,2021
CA-099,Stanislaus County,California,63,2021
CA-101,Sutter County,California,64.4,2021
CA-103,Tehama County,California,60.5,2021
CA-105,Trinity County,California,54.3,2021
CA-107,Tulare County,California,56.3,2021
CA-109,Tuolumne County,California,52.4,2021
CA-111,Ventura County,California,59.2,2021
CA-113,Yolo County,California,63.3,2021
CA-115,Yuba County,California,62.6,2021
CA-001,Alameda County,California,61.7,2020
CA-003,Alpine County,California,46.3,2020
CA-005,Amador County,California,60.4,2020
CA-007,Butte County,California,62.4,2020
CA-009,Calaveras County,California,60.7,2020
CA-011,Colusa County,California,64,2020
CA-013,Contra Costa County,California,62.8,2020
CA-015,Del Norte County,California,53.3,2020
CA-017,El Dorado County,California,56.4,2020
CA-019,Fresno County,California,57.6,2020
CA-021,Glenn County,California,62.6,2020
CA-023,Humboldt County,California,55.8,2020
CA-025,Imperial County,California,75.4,2020
CA-027,Inyo County,California,62.6,2020
CA-029,Kern County,California,63.4,2020
CA-031,Kings County,California,65.5,2020
CA-033,Lake County,California,59.6,2020
CA-035,Lassen County,California,49.1,2020
CA-037,Los Angeles County,California,63.2,2020
CA-039,Madera County,California,58,2020
CA-041,Marin County,California,58.4,2020
CA-043,Mariposa County,California,57.4,2020
CA-045,Mendocino County,California,57.7,2020
CA-047,Merced County,California,63.4,2020
CA-049,Modoc County,California,49,2020
CA-051,Mono County,California,46.6,2020
CA-053,Monterey County,California,60.4,2020
CA-055,Napa County,California,61.9,2020
CA-057,Nevada County,California,54.5,2020
CA-059,Orange County,California,65.9,2020
CA-061,Placer County,California,55.9,2020
CA-063,Plumas County,California,49.4,2020
CA-065,Riverside County,California,70.2,2020
CA-067,Sacramento County,California,64.4,2020
CA-069,San Benito County,California,60.7,2020
CA-071,San Bernardino County,California,68.2,2020
CA-073,San Diego County,California,64.7,2020
CA-075,San Francisco County,California,59.2,2020
CA-077,San Joaquin County,California,64.5,2020
CA-079,San Luis Obispo County,California,61.1,2020
CA-081,San Mateo County,California,58.8,2020
CA-083,Santa Barbara County,California,60.2,2020
CA-085,Santa Clara County,California,60.5,2020
CA-087,Santa Cruz County,California,59.3,2020
CA-089,Shasta County,California,57.4,2020
CA-091,Sierra County,California,49.3,2020
CA-093,Siskiyou County,California,50.9,2020
CA-095,Solano County,California,63.2,2020
CA-097,Sonoma County,California,59.4,2020
CA-099,Stanislaus County,California,63.1,2020
CA-101,Sutter County,California,64.9,2020
CA-103,Tehama County,California,61.1,2020
CA-105,Trinity County,California,54.7,2020
CA-107,Tulare County,California,56.1,2020
CA-109,Tuolumne County,California,52.5,2020
CA-111,Ventura County,California,59.5,2020
CA-113,Yolo County,California,63.9,2020
CA-115,Yuba County,California,63,2020
CA-001,Alameda County,California,59.7,2019
CA-003,Alpine County,California,43.5,2019
CA-005,Amador County,California,57.8,2019
CA-007,Butte County,California,60.2,2019
CA-009,Calaveras County,California,58.3,2019
CA-011,Colusa County,California,61.6,2019
CA-013,Contra Costa County,California,60.6,2019
CA-015,Del Norte County,California,52.1,2019
CA-017,El Dorado County,California,53.6,2019
CA-019,Fresno County,California,55.8,2019
CA-021,Glenn County,California,60.4,2019
CA-023,Humboldt County,California,54.5,2019
CA-025,Imperial County,California,72.9,2019
CA-027,Inyo County,California,60,2019
CA-029,Kern County,California,61.7,2019
CA-031,Kings County,California,64.3,2019
CA-033,Lake County,California,57.4,2019
CA-035,Lassen County,California,46.6,2019
CA-037,Los Angeles County,California,61.1,2019
CA-039,Madera County,California,56.3,2019
CA-041,Marin County,California,56.9,2019
CA-043,Mariposa County,California,55,2019
CA-045,Mendocino County,California,56.1,2019
CA-047,Merced County,California,62.9,2019
CA-049,Modoc County,California,46.7,2019
CA-051,Mono County,California,43.6,2019
CA-053,Monterey County,California,59.1,2019
CA-055,Napa County,California,60,2019
CA-057,Nevada County,California,51.9,2019
CA-059,Orange County,California,63.9,2019
CA-061,Placer County,California,53.4,2019
CA-063,Plumas County,California,47.1,2019
CA-065,Riverside County,California,67.6,2019
CA-067,Sacramento County,California,62.9,2019
CA-069,San Benito County,California,59.1,2019
CA-071,San Bernardino County,California,65.5,2019
CA-073,San Diego County,California,62.4,2019
CA-075,San Francisco County,California,58,2019
CA-077,San Joaquin County,California,63.1,2019
CA-079,San Luis Obispo County,California,59.7,2019
CA-081,San Mateo County,California,58,2019
CA-083,Santa Barbara County,California,58.6,2019
CA-085,Santa Clara County,California,58.9,2019
CA-087,Santa Cruz County,California,58.6,2019
CA-089,Shasta County,California,55.3,2019
CA-091,Sierra County,California,46.8,2019
CA-093,Siskiyou County,California,49,2019
CA-095,Solano County,California,61.7,2019
CA-097,Sonoma County,California,57.9,2019
CA-099,Stanislaus County,California,62.3,2019
CA-101,Sutter County,California,63.4,2019
CA-103,Tehama County,California,58.8,2019
CA-105,Trinity County,California,52.9,2019
CA-107,Tulare County,California,54,2019
CA-109,Tuolumne County,California,49.9,2019
CA-111,Ventura County,California,57.7,2019
CA-113,Yolo County,California,62.4,2019
CA-115,Yuba County,California,60.9,2019
CA-001,Alameda County,California,59.8,2018
CA-003,Alpine County,California,45.7,2018
CA-005,Amador County,California,59.7,2018
CA-007,Butte County,California,61,2018
CA-009,Calaveras County,California,60,2018
CA-011,Colusa County,California,62.5,2018
CA-013,Contra Costa County,California,61,2018
CA-015,Del Norte County,California,52.9,2018
CA-017,El Dorado County,California,55.4,2018
CA-019,Fresno County,California,57.4,2018
CA-021,Glenn County,California,61,2018
CA-023,Humboldt County,California,54.8,2018
CA-025,Imperial County,California,75.3,2018
CA-027,Inyo County,California,62.7,2018
CA-029,Kern County,California,63.6,2018
CA-031,Kings County,California,65.2,2018
CA-033,Lake County,California,58.5,2018
CA-035,Lassen County,California,48,2018
CA-037,Los Angeles County,California,63.5,2018
CA-039,Madera County,California,57.7,2018
CA-041,Marin County,California,56.7,2018
CA-043,Mariposa County,California,56.9,2018
CA-045,Mendocino County,California,56.2,2018
CA-047,Merced County,California,63.4,2018
CA-049,Modoc County,California,48,2018
CA-051,Mono County,California,46.1,2018
CA-053,Monterey County,California,59.9,2018
CA-055,Napa County,California,60.4,2018
CA-057,Nevada County,California,53.8,2018
CA-059,Orange County,California,65.8,2018
CA-061,Placer County,California,55,2018
CA-063,Plumas County,California,48.6,2018
CA-065,Riverside County,California,70.2,2018
CA-067,Sacramento County,California,62.9,2018
CA-069,San Benito County,California,60.3,2018
CA-071,San Bernardino County,California,68.4,2018
CA-073,San Diego County,California,64.8,2018
CA-075,San Francisco County,California,57.6,2018
CA-077,San Joaquin County,California,63.3,2018
CA-079,San Luis Obispo County,California,61.1,2018
CA-081,San Mateo County,California,57.6,2018
CA-083,Santa Barbara County,California,60.2,2018
CA-085,Santa Clara County,California,59.5,2018
CA-087,Santa Cruz County,California,58.4,2018
CA-089,Shasta County,California,56.6,2018
CA-091,Sierra County,California,48.7,2018
CA-093,Siskiyou County,California,50.3,2018
CA-095,Solano County,California,61.6,2018
CA-097,Sonoma County,California,58.1,2018
CA-099,Stanislaus County,California,62.9,2018
CA-101,Sutter County,California,63.7,2018
CA-103,Tehama County,California,60.1,2018
CA-105,Trinity County,California,53.8,2018
CA-107,Tulare County,California,55.9,2018
CA-109,Tuolumne County,California,51.9,2018
CA-111,Ventura County,California,59.5,2018
CA-113,Yolo County,California,62.4,2018
CA-115,Yuba County,California,62,2018
CA-001,Alameda County,California,60.5,2017
CA-003,Alpine County,California,45.4,2017
CA-005,Amador County,California,59.5,2017
CA-007,Butte County,California,61.1,2017
CA-009,Calaveras County,California,60,2017
CA-011,Colusa County,California,62.9,2017
CA-013,Contra Costa County,California,61.5,2017
CA-015,Del Norte County,California,52.4,2017
CA-017,El Dorado County,California,55.3,2017
CA-019,Fresno County,California,57.3,2017
CA-021,Glenn County,California,61.4,2017
CA-023,Humboldt County,California,54.8,2017
CA-025,Imperial County,California,76.3,2017
CA-027,Inyo County,California,62.6,2017
CA-029,Kern County,California,63.8,2017
CA-031,Kings County,California,65.6,2017
CA-033,Lake County,California,58.5,2017
CA-035,Lassen County,California,48.3,2017
CA-037,Los Angeles County,California,64.1,2017
CA-039,Madera County,California,57.8,2017
CA-041,Marin County,California,57.5,2017
CA-043,Mariposa County,California,57,2017
CA-045,Mendocino County,California,56.6,2017
CA-047,Merced County,California,64,2017
CA-049,Modoc County,California,48.2,2017
CA-051,Mono County,California,45.8,2017
CA-053,Monterey County,California,60.4,2017
CA-055,Napa County,California,60.8,2017
CA-057,Nevada County,California,53.7,2017
CA-059,Orange County,California,66.3,2017
CA-061,Placer County,California,55,2017
CA-063,Plumas County,California,48.7,2017
CA-065,Riverside County,California,70.7,2017
CA-067,Sacramento County,California,63.7,2017
CA-069,San Benito County,California,60.7,2017
CA-071,San Bernardino County,California,68.7,2017
CA-073,San Diego County,California,65.2,2017
CA-075,San Francisco County,California,58.5,2017
CA-077,San Joaquin County,California,63.7,2017
CA-079,San Luis Obispo County,California,61.7,2017
CA-081,San Mateo County,California,58.4,2017
CA-083,Santa Barbara County,California,60.7,2017
CA-085,Santa Clara County,California,59.8,2017
CA-087,Santa Cruz County,California,58.9,2017
CA-089,Shasta County,California,56.6,2017
CA-091,Sierra County,California,48.7,2017
CA-093,Siskiyou County,California,50,2017
CA-095,Solano County,California,62.2,2017
CA-097,Sonoma County,California,58.5,2017
CA-099,Stanislaus County,California,63.4,2017
CA-101,Sutter County,California,64.6,2017
CA-103,Tehama County,California,60.1,2017
CA-105,Trinity County,California,53.7,2017
CA-107,Tulare County,California,56,2017
CA-109,Tuolumne County,California,51.8,2017
CA-111,Ventura County,California,60.3,2017
CA-113,Yolo County,California,63.1,2017
CA-115,Yuba County,California,62.3,2017